County,White,Black,AllRaces
Adair,209,15,232
Andrew,x,x,x
Atchison,x,x,x
Audrain,512,137,664
Barry,x,x,x
Barton,x,x,x
Bates,314,7,325
Benton,x,x,x
Bollinger,99,0,105
Boone,1819,1097,3035
Buchanan,1590,303,2012
Butler,439,86,529
Caldwell,x,x,x
Callaway,686,134,839
Camden,615,14,643
Cape Girardeau,468,282,776
Carroll,160,5,187
Carter,46,0,47
Cass,1500,154,1723
Cedar,x,x,x
Chariton,61,9,71
Christian,768,31,842
Clark,7,0,8
Clay,3177,654,4147
Clinton,300,7,313
Cole,880,747,1664
Cooper,283,61,349
Crawford,374,0,376
Dade,114,0,117
Dallas,216,0,221
Daviess,x,x,x
DeKalb,115,0,116
Dent,x,x,x
Douglas,70,0,71
Dunklin,436,261,726
Franklin,1636,58,1731
Gasconade,x,x,x
Gentry,x,x,x
Greene,4596,497,5385
Grundy,x,x,x
Harrison,x,x,x
Henry,622,11,636
Hickory,63,0,63
Holt,73,0,76
Howard,103,27,133
Howell,669,7,686
Iron,x,x,x
Jackson,8350,15080,25364
Jasper,3324,183,3754
Jefferson,3191,104,3360
Johnson,663,96,789
Knox,x,x,x
Laclede,578,16,603
Lafayette,402,38,488
Lawrence,865,7,906
Lewis,30,0,30
Lincoln,1026,91,1161
Linn,219,7,235
Livingston,378,22,412
Macon,143,30,179
Madison,x,x,x
Maries,53,0,53
Marion,416,96,537
McDonald,x,x,x
Mercer,29,0,30
Miller,x,x,x
Mississippi,154,104,263
Moniteau,x,x,x
Monroe,x,x,x
Montgomery,154,9,171
Morgan,235,5,245
New Madrid,192,184,385
Newton,1570,39,1796
Nodaway,291,20,318
Oregon,x,x,x
Osage,82,0,84
Ozark,39,0,40
Pemiscot,206,361,581
Perry,457,8,470
Pettis,630,96,798
Phelps,524,40,579
Pike,272,32,313
Platte,833,248,1157
Polk,504,10,522
Pulaski,259,66,340
Putnam,81,0,82
Ralls,x,x,x
Randolph,384,57,458
Ray,363,21,393
Reynolds,92,0,92
Ripley,189,0,189
Saline,378,60,526
Schuyler,x,x,x
Scotland,64,0,64
Scott,446,401,856
Shannon,106,0,106
Shelby,36,0,39
St. Charles,4375,930,5563
St. Clair,x,x,x
St. Francois,1162,68,1242
St. Louis City,2276,18787,21588
St. Louis County,8227,21212,30451
Ste. Genevieve,x,x,x
Stoddard,285,13,303
Stone,x,x,x
Sullivan,x,x,x
Taney,680,49,735
Texas,248,8,261
Vernon,914,15,938
Warren,483,24,535
Washington,456,8,467
Wayne,132,0,137
Webster,x,x,x
Worth,28,0,28
Wright,159,0,161